run_id,timestamp,agent_name,scenario_id,composite_score,sla_quality,energy_efficiency,carbon,thermal_safety,cost,infra_health,failure_response,duration_ticks,total_sim_time_s
ba373f56,2026-02-14T09:27:07+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
ea54bc55,2026-02-14T09:27:07+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
0cdbe59a,2026-02-14T09:27:46+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
747d773d,2026-02-14T09:27:46+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
406b8038,2026-02-14T09:32:44+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
a53ad007,2026-02-14T09:33:23+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
ca7f95c8,2026-02-14T09:46:36+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
55ed5d09,2026-02-14T09:46:36+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
cd88d2ce,2026-02-14T09:46:36+00:00,random,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
ad26124a,2026-02-14T09:46:36+00:00,random,steady_state,78.17,77.5,52.01,77.71,100.0,67.33,100.0,100.0,30,1800.0
eccc961c,2026-02-14T09:46:36+00:00,random,steady_state,82.3,86.67,53.58,79.54,100.0,79.83,100.0,100.0,20,1200.0
7f8a8ff2,2026-02-14T09:46:36+00:00,baseline,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
b5f2b7e9,2026-02-14T09:46:36+00:00,baseline,steady_state,77.82,70.0,53.71,79.23,100.0,76.98,100.0,100.0,15,900.0
9e886290,2026-02-14T09:52:14+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
