run_id,timestamp,agent_name,scenario_id,composite_score,sla_quality,energy_efficiency,carbon,thermal_safety,cost,infra_health,failure_response,duration_ticks,total_sim_time_s
ba373f56,2026-02-14T09:27:07+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
ea54bc55,2026-02-14T09:27:07+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
0cdbe59a,2026-02-14T09:27:46+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
747d773d,2026-02-14T09:27:46+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
406b8038,2026-02-14T09:32:44+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
a53ad007,2026-02-14T09:33:23+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
ca7f95c8,2026-02-14T09:46:36+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
55ed5d09,2026-02-14T09:46:36+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
cd88d2ce,2026-02-14T09:46:36+00:00,random,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
ad26124a,2026-02-14T09:46:36+00:00,random,steady_state,78.17,77.5,52.01,77.71,100.0,67.33,100.0,100.0,30,1800.0
eccc961c,2026-02-14T09:46:36+00:00,random,steady_state,82.3,86.67,53.58,79.54,100.0,79.83,100.0,100.0,20,1200.0
7f8a8ff2,2026-02-14T09:46:36+00:00,baseline,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
b5f2b7e9,2026-02-14T09:46:36+00:00,baseline,steady_state,77.82,70.0,53.71,79.23,100.0,76.98,100.0,100.0,15,900.0
9e886290,2026-02-14T09:52:14+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
8c910312,2026-02-14T10:55:28+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
8a650d19,2026-02-14T10:55:28+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
b0273c4a,2026-02-14T10:55:29+00:00,random,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
e4613861,2026-02-14T10:55:29+00:00,random,steady_state,78.17,77.5,52.01,77.71,100.0,67.33,100.0,100.0,30,1800.0
e0b3731b,2026-02-14T10:55:29+00:00,random,steady_state,82.3,86.67,53.58,79.54,100.0,79.83,100.0,100.0,20,1200.0
eb13c019,2026-02-14T10:55:29+00:00,baseline,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
b3230d69,2026-02-14T10:55:29+00:00,baseline,steady_state,77.82,70.0,53.71,79.23,100.0,76.98,100.0,100.0,15,900.0
c3ae19e3,2026-02-14T11:01:35+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
8ed23157,2026-02-14T11:01:36+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
a24fe7b0,2026-02-14T11:01:36+00:00,random,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
5c759ba8,2026-02-14T11:01:36+00:00,random,steady_state,78.17,77.5,52.01,77.71,100.0,67.33,100.0,100.0,30,1800.0
ba63d52d,2026-02-14T11:01:36+00:00,random,steady_state,82.3,86.67,53.58,79.54,100.0,79.83,100.0,100.0,20,1200.0
c5ef11d9,2026-02-14T11:01:36+00:00,baseline,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
5da7a198,2026-02-14T11:01:36+00:00,baseline,steady_state,77.82,70.0,53.71,79.23,100.0,76.98,100.0,100.0,15,900.0
d122b1a2,2026-02-14T11:16:42+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
fc63d190,2026-02-14T11:16:42+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
5be86003,2026-02-14T11:16:42+00:00,random,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
d36a2272,2026-02-14T11:16:42+00:00,random,steady_state,78.17,77.5,52.01,77.71,100.0,67.33,100.0,100.0,30,1800.0
ceabde24,2026-02-14T11:16:42+00:00,random,steady_state,82.3,86.67,53.58,79.54,100.0,79.83,100.0,100.0,20,1200.0
33a0a371,2026-02-14T11:16:42+00:00,baseline,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
2cc4ea3c,2026-02-14T11:16:42+00:00,baseline,steady_state,77.82,70.0,53.71,79.23,100.0,76.98,100.0,100.0,15,900.0
fd7b8138,2026-02-14T11:18:31+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
e626ac37,2026-02-14T11:18:31+00:00,test_agent,steady_state,75.5,80,70,65,90,60,85,50,240,14400.0
3258688a,2026-02-14T11:18:31+00:00,random,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
9adc3e2b,2026-02-14T11:18:31+00:00,random,steady_state,78.17,77.5,52.01,77.71,100.0,67.33,100.0,100.0,30,1800.0
27e3b9be,2026-02-14T11:18:31+00:00,random,steady_state,82.3,86.67,53.58,79.54,100.0,79.83,100.0,100.0,20,1200.0
e480b5e7,2026-02-14T11:18:31+00:00,baseline,steady_state,77.49,70.0,53.64,78.86,100.0,74.31,100.0,100.0,20,1200.0
8d6de3f9,2026-02-14T11:18:31+00:00,baseline,steady_state,77.82,70.0,53.71,79.23,100.0,76.98,100.0,100.0,15,900.0
028b30c0,2026-02-14T11:20:52+00:00,random,thermal_crisis,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
ccb933d3,2026-02-14T11:28:47+00:00,random,steady_state,68.47,93.57,63.13,71.29,0.0,72.25,95.31,100.0,240,14400.0
